Track,Artist,Release Date,Spotify Streams,Spotify Popularity,YouTube Views,TikTok Views,danceability,energy,valence,tempo,loudness,acousticness,speechiness,instrumentalness,liveness,track_genre,explicit,popularity,year
As It Was,Harry Styles,3/31/2022,3301814535.0,87.0,"800,899,315","15,405,881,843",0.52,0.731,0.662,173.93,-5.338,0.342,0.0557,0.00101,0.311,pop,False,95,2022
Baby Shark,Pinkfong,12/1/2015,720822868.0,71.0,"16,322,756,555","6,577,639,193",0.829,0.886,0.777,115.056,-1.746,0.259,0.112,0.0,0.0559,children,False,77,2015
Shape of You,Ed Sheeran,1/6/2017,3909458734.0,80.0,"8,013,997,219","2,320,856,331",0.825,0.652,0.931,95.977,-3.183,0.581,0.0802,0.0,0.0931,pop,False,86,2017
Blinding Lights,The Weeknd,11/29/2019,4281468720.0,83.0,"833,807,130","3,501,177,394",0.514,0.73,0.334,171.005,-5.934,0.00146,0.0598,9.54e-05,0.0897,pop,False,91,2019
Heat Waves,Glass Animals,6/29/2020,2996181078.0,82.0,"1,272,898,075","5,518,429,969",0.761,0.525,0.531,80.87,-6.9,0.44,0.0944,6.7e-06,0.0921,indie-pop,False,85,2020
In the End,Linkin Park,4/12/2024,2045512421.0,,,,0.556,0.864,0.4,105.143,-5.87,0.00958,0.0584,0.0,0.209,alternative,False,85,2024
Old Town Road,Lil Nas X,3/14/2019,1010494713.0,67.0,"3,203,314,695","1,981,431,049",0.907,0.53,0.507,135.998,-6.112,0.0578,0.127,2.23e-06,0.101,hip-hop,False,77,2019
Perfect,Ed Sheeran,3/3/2017,2969999682.0,81.0,"6,473,698,897","7,647,479,866",0.599,0.448,0.168,95.05,-6.312,0.163,0.0232,0.0,0.106,pop,False,87,2017
Pepas,Farruko,6/24/2021,1500499584.0,74.0,"1,431,591,689","4,067,248,819",0.762,0.766,0.442,130.001,-3.955,0.00776,0.0343,6.98e-05,0.128,latin,True,86,2021
Easy On Me,Adele,10/14/2021,1720918065.0,73.0,"1,194,846,205","7,860,224,413",0.604,0.366,0.13,141.981,-7.519,0.578,0.0282,0.0,0.133,british,False,85,2021
Believer,Imagine Dragons,1/31/2017,3006226762.0,81.0,"4,495,059,988","5,876,458,723",0.776,0.78,0.666,124.949,-4.374,0.0622,0.128,0.0,0.081,rock,False,88,2017
First Class,Jack Harlow,4/8/2022,818858244.0,71.0,"231,229,581","6,890,780,336",0.905,0.563,0.324,106.998,-6.135,0.0254,0.102,9.71e-06,0.113,hip-hop,True,1,2022
I Ain't Worried,OneRepublic,5/13/2022,1607421145.0,83.0,"409,785,349","1,825,552,705",0.704,0.797,0.825,139.994,-5.927,0.0826,0.0475,0.000745,0.0546,piano,False,96,2022
Dynamite,BTS,8/21/2020,1872577908.0,74.0,"2,638,957,320","5,063,720,138",0.746,0.765,0.737,114.044,-4.41,0.0112,0.0993,0.0,0.0936,k-pop,False,85,2020
Someone You Loved,Lewis Capaldi,11/8/2018,3427498835.0,82.0,"2,153,701,892","2,161,032,034",0.501,0.405,0.446,109.891,-5.679,0.751,0.0319,0.0,0.105,pop,False,87,2018
La Bachata,Manuel Turizo,5/26/2022,1721045197.0,81.0,"798,827,877","2,596,777,974",0.835,0.679,0.85,124.98,-5.329,0.583,0.0364,1.98e-06,0.218,latin,False,98,2022
Don't Start Now,Dua Lipa,10/31/2019,2607121959.0,78.0,"1,201,600,884","3,535,661,993",0.793,0.793,0.679,123.95,-4.521,0.0123,0.083,0.0,0.0951,dance,False,81,2019
PROVENZA,KAROL G,4/22/2022,1185929926.0,76.0,"1,229,843,060","2,829,294,043",0.87,0.516,0.53,111.005,-8.006,0.656,0.0541,0.00823,0.11,reggae,False,0,2022
Bad Habits,Ed Sheeran,1/1/2020,1754311538.0,74.0,"958,790,883","2,658,904,267",0.807,0.893,0.537,126.011,-3.745,0.0451,0.0347,2.79e-05,0.366,pop,False,88,2020
good 4 u,Olivia Rodrigo,5/14/2021,2167768056.0,79.0,"773,591,065","8,186,754,429",0.563,0.664,0.688,166.928,-5.044,0.335,0.154,0.0,0.0849,pop,True,88,2021
bad guy,Billie Eilish,3/29/2019,2516804300.0,76.0,"1,779,243,626","1,409,756,969",0.701,0.425,0.562,135.128,-10.965,0.328,0.375,0.13,0.1,electro,False,84,2019
About Damn Time,Lizzo,4/14/2022,847025688.0,66.0,"106,024,874","15,665,483,220",0.836,0.743,0.722,108.966,-6.305,0.0995,0.0656,0.0,0.335,hip-hop,True,89,2022
Bones,Imagine Dragons,3/11/2022,1227475431.0,78.0,"584,854,654","2,255,843,288",0.773,0.742,0.571,114.071,-3.678,0.0206,0.046,0.0,0.0754,rock,False,89,2022
golden hour,JVKE,7/15/2022,1126986320.0,73.0,"293,553,015","2,305,840,359",0.515,0.593,0.153,94.467,-4.801,0.653,0.0322,0.162,0.25,indie-pop,False,81,2022
Memories,Maroon 5,9/20/2019,2011072164.0,77.0,"1,290,292,327","1,458,416,059",0.775,0.327,0.595,91.05,-7.241,0.841,0.0557,0.0,0.0821,pop,False,85,2019
Without Me,Halsey,10/4/2018,2042792456.0,75.0,"2,018,089,906","2,216,715,741",0.752,0.488,0.533,136.041,-7.05,0.297,0.0705,9.11e-06,0.0936,dance,True,78,2018
Thunder,Imagine Dragons,4/27/2017,2384768901.0,79.0,"2,707,166,590","906,537,912",0.605,0.822,0.288,167.997,-4.833,0.00671,0.0438,0.134,0.147,rock,False,85,2017
abcdefu,GAYLE,8/13/2021,1128273165.0,70.0,"499,895,662","12,414,681,151",0.695,0.54,0.415,121.932,-5.692,0.299,0.0493,0.0,0.367,alternative,True,86,2021
MONEY,LISA,9/10/2021,1189335848.0,73.0,"1,323,718,887","12,516,703,531",0.826,0.553,0.4,140.037,-10.121,0.163,0.234,4.12e-05,0.135,k-pop,False,78,2021
Woman,Doja Cat,6/25/2021,1606950381.0,78.0,"641,326,002","5,944,657,895",0.824,0.764,0.881,107.998,-4.175,0.0888,0.0854,0.00294,0.117,dance,True,88,2021
How You Like That,BLACKPINK,6/25/2020,1033109188.0,68.0,"1,584,676,582","7,988,463,856",0.813,0.787,0.326,130.018,-4.254,0.0452,0.0777,0.000107,0.0506,k-pop,False,75,2020
drivers license,Olivia Rodrigo,1/8/2021,2184754018.0,79.0,"984,811,734","3,781,894,216",0.561,0.431,0.137,143.875,-8.81,0.768,0.0578,1.42e-05,0.106,pop,True,88,2021
MONTERO (Call Me By Your Name),Lil Nas X,3/26/2021,1902241314.0,70.0,"274,582,854","7,655,286,423",0.593,0.503,0.71,178.781,-6.725,0.293,0.22,0.0,0.405,hip-hop,True,83,2021
Glimpse of Us,Joji,6/10/2022,1262308912.0,74.0,"66,246,839","8,988,453,878",0.44,0.317,0.268,169.914,-9.258,0.891,0.0531,4.78e-06,0.141,pop,False,94,2022
Watermelon Sugar,Harry Styles,11/17/2019,2708151499.0,82.0,"872,052,223","2,738,127,473",0.548,0.816,0.557,95.39,-4.209,0.122,0.0465,0.0,0.335,pop,False,89,2019
THATS WHAT I WANT,Lil Nas X,9/17/2021,1062095453.0,72.0,"194,928,107","3,501,946,982",0.737,0.846,0.546,87.981,-4.51,0.00614,0.22,0.0,0.0486,hip-hop,True,87,2021
Todo De Ti,Rauw Alejandro,5/20/2021,1339352060.0,75.0,"873,449,363","4,445,597,088",0.78,0.718,0.342,127.949,-3.605,0.31,0.0506,0.000163,0.0932,latino,True,82,2021
Sorry,Justin Bieber,10/23/2015,2089476497.0,78.0,"4,467,507,940","376,376,728",0.679,0.748,0.438,100.035,-3.624,0.0878,0.0385,0.0,0.299,pop,False,0,2015
Pink Venom,BLACKPINK,8/19/2022,736469450.0,68.0,"868,589,823","5,828,265,172",0.794,0.719,0.69,90.016,-7.227,0.0119,0.0761,0.0,0.276,k-pop,False,85,2022
Moscow Mule,Bad Bunny,5/6/2022,1108031580.0,77.0,"765,780,154","940,630,746",0.804,0.674,0.292,99.968,-5.453,0.294,0.0333,1.18e-06,0.115,latin,True,94,2022
7 rings,Ariana Grande,1/18/2019,2262490403.0,77.0,"1,903,198,886","2,620,954,252",0.778,0.317,0.327,140.048,-10.732,0.592,0.334,0.0,0.0881,dance,True,84,2019
God's Plan,Drake,1/20/2018,2529948475.0,77.0,"2,040,639,375","634,177,218",0.754,0.449,0.357,77.169,-9.211,0.0332,0.109,8.29e-05,0.552,hip-hop,True,84,2018
Ghost,Justin Bieber,3/19/2021,1586830204.0,80.0,"476,319,277","1,180,485,094",0.601,0.741,0.441,153.96,-5.569,0.185,0.0478,2.91e-05,0.415,pop,False,88,2021
SAD!,XXXTENTACION,3/2/2018,2218531106.0,75.0,"1,800,863,873","435,340,082",0.74,0.613,0.473,75.023,-4.88,0.258,0.145,0.00372,0.123,emo,True,83,2018
Efecto,Bad Bunny,5/6/2022,1293773697.0,77.0,"501,908,214","6,046,489,956",0.801,0.475,0.234,98.047,-8.797,0.141,0.0516,1.73e-05,0.0639,latin,False,96,2022
Yonaguni,Bad Bunny,6/4/2021,1398634184.0,71.0,"1,084,871,745","2,877,719,483",0.644,0.648,0.44,179.951,-4.601,0.276,0.118,0.0,0.135,latino,True,87,2021
Heathens,Twenty One Pilots,6/16/2016,1777196966.0,78.0,"2,624,180,055","1,024,805,500",0.732,0.396,0.548,90.024,-9.348,0.0841,0.0286,3.58e-05,0.105,rock,False,81,2016
Butter,BTS,5/21/2021,1257974135.0,70.0,"1,175,755,478","8,120,632,702",0.759,0.459,0.695,109.997,-5.187,0.00323,0.0948,0.0,0.0788,k-pop,False,83,2021
Say So,Doja Cat,11/7/2019,1199270601.0,69.0,"879,051,516","5,494,376,938",0.787,0.673,0.779,110.962,-4.583,0.264,0.159,3.35e-06,0.0904,dance,True,79,2019
Shivers,Ed Sheeran,1/1/2020,1568058093.0,77.0,"683,237,554","1,292,107,474",0.788,0.859,0.822,141.02,-2.724,0.281,0.0856,0.0,0.0424,pop,False,0,2020
Until I Found You,Stephen Sanchez,9/1/2021,1020452066.0,73.0,"385,820,349","3,320,885,451",0.539,0.508,0.227,101.358,-6.05,0.727,0.0288,0.0,0.174,pop,False,90,2021
Need To Know,Doja Cat,6/11/2021,1178076856.0,71.0,"507,790,705","2,422,643,413",0.664,0.609,0.194,130.041,-6.509,0.304,0.0707,0.0,0.0926,dance,True,84,2021
Last Last,Burna Boy,5/12/2022,410722289.0,68.0,"332,556,651","1,049,244,970",0.795,0.565,0.55,87.925,-4.457,0.131,0.0948,0.0,0.0802,dance,False,4,2022
BILLIE EILISH.,Armani White,5/19/2022,359416593.0,64.0,"116,400,996","10,488,403,602",0.9,0.509,0.765,100.007,-6.647,0.115,0.257,1.67e-06,0.0937,hip-hop,True,89,2022
deja vu,Olivia Rodrigo,4/1/2021,1606975517.0,80.0,"638,102,695","3,758,269,019",0.442,0.612,0.178,180.917,-7.222,0.584,0.112,5.7e-06,0.37,pop,True,87,2021
Kill This Love,BLACKPINK,4/4/2019,820840650.0,67.0,"2,920,436,498","1,616,215,054",0.738,0.861,0.58,131.98,-4.141,0.318,0.237,0.00182,0.325,k-pop,False,71,2019
Sweet but Psycho,Ava Max,8/17/2018,1668741024.0,76.0,"1,254,501,233","2,733,847,243",0.72,0.706,0.62,133.002,-4.719,0.0684,0.0473,0.0,0.166,dance,False,81,2018
Falling,Trevor Daniel,10/5/2018,1606023895.0,71.0,"1,151,842,584","8,742,744,684",0.785,0.431,0.236,127.085,-8.756,0.123,0.0364,0.0,0.0887,pop,False,79,2018
positions,Ariana Grande,10/23/2020,1432830108.0,74.0,"778,340,255","1,984,520,688",0.737,0.802,0.682,144.015,-4.771,0.468,0.0878,0.0,0.0931,dance,True,85,2020
Save Your Tears,The Weeknd,3/20/2020,1995511952.0,80.0,"365,257,705","1,154,403,769",0.68,0.826,0.644,118.051,-5.487,0.0212,0.0309,1.24e-05,0.543,pop,True,89,2020
Happier Than Ever,Billie Eilish,7/30/2021,1321878145.0,78.0,"530,778,926","2,295,813,182",0.314,0.238,0.303,72.535,-8.802,0.741,0.0389,0.00193,0.128,pop,False,0,2021
"Let It Go - From ""Frozen""/Soundtrack Version",Idina Menzel,1/1/2013,759374819.0,69.0,"4,168,791,151","966,469,545",0.543,0.485,0.371,136.961,-6.85,0.558,0.0305,0.0,0.12,show-tunes,False,75,2013
Moonlight,XXXTENTACION,3/16/2018,1885431727.0,77.0,"1,607,650,475","300,772,720",0.921,0.537,0.711,128.009,-5.723,0.556,0.0804,0.00404,0.102,emo,True,83,2018
That's What I Like,Bruno Mars,11/17/2016,2075459887.0,80.0,"2,696,139,998","704,916,578",0.853,0.56,0.86,134.066,-4.961,0.013,0.0406,0.0,0.0944,dance,False,83,2016
Ride It,Regard,7/26/2019,1349427877.0,76.0,"564,022,753","5,118,900,832",0.88,0.751,0.884,117.948,-4.258,0.177,0.0874,6.43e-05,0.106,edm,False,81,2019
BICHOTA,KAROL G,10/23/2020,868091483.0,64.0,"1,591,945,481","1,153,849,236",0.863,0.666,0.838,163.908,-4.158,0.212,0.152,0.000493,0.103,reggae,True,0,2020
The Hills,The Weeknd,5/27/2015,2306740926.0,80.0,"2,404,495,013","1,174,129,136",0.565,0.551,0.125,112.98,-7.007,0.0845,0.0687,0.0,0.139,pop,True,3,2015
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,9/22/2022,428164381.0,68.0,"138,760,138","419,346,148",0.637,0.715,0.308,141.872,-4.971,0.148,0.0455,0.0,0.0892,hip-hop,True,90,2022
Envolver,Anitta,11/11/2021,635241142.0,65.0,"836,072,339","9,427,647,770",0.813,0.733,0.397,91.988,-5.417,0.15,0.0847,0.00186,0.0909,funk,False,0,2021
you broke me first,Tate McRae,4/17/2020,1439465700.0,77.0,"706,284,693","1,383,885,042",0.667,0.373,0.0823,124.148,-9.389,0.785,0.05,0.0,0.0906,pop,True,84,2020
Faint,Linkin Park,4/12/2024,670009914.0,,,,0.554,0.978,0.594,135.095,-3.554,0.111,0.131,0.0,0.0731,alternative,False,77,2024
Cradles,Sub Urban,1/4/2019,737097685.0,68.0,"1,098,942,075","8,841,517,566",0.537,0.586,0.624,79.056,-1.864,0.265,0.314,7.04e-05,0.175,indie-pop,False,76,2019
Under The Influence,Chris Brown,10/4/2019,1249760413.0,79.0,"699,931,779","2,436,202,278",0.733,0.69,0.31,116.992,-5.529,0.0635,0.0427,1.18e-06,0.105,dance,True,96,2019
Life Goes On,Oliver Tree,7/17/2020,568230113.0,68.0,"531,872,316","11,938,256,726",0.7,0.49,0.569,79.982,-5.187,0.186,0.076,0.0,0.117,alternative,False,79,2020
Rock and A Hard Place,Bailey Zimmerman,6/10/2022,412845771.0,73.0,"215,094,924","777,869,891",0.582,0.568,0.394,121.991,-7.3,0.577,0.0275,0.0,0.105,country,False,0,2022
DDU-DU DDU-DU,BLACKPINK,6/15/2018,701726499.0,65.0,"3,435,321,800","683,794,564",0.671,0.859,0.39,139.931,-3.922,0.0313,0.0833,0.0,0.267,k-pop,False,71,2018
Wake Me Up,Avicii,1/1/2013,2325017580.0,81.0,"3,214,634,614","360,378,218",0.532,0.783,0.643,124.08,-5.697,0.0038,0.0523,0.0012,0.161,dance,False,85,2013
Kings & Queens,Ava Max,3/12/2020,955439608.0,73.0,"627,987,518","2,036,664,297",0.637,0.69,0.457,129.857,-4.057,0.00786,0.0405,0.0,0.124,dance,False,81,2020
HIGHEST IN THE ROOM,Travis Scott,10/4/2019,1625149693.0,78.0,"925,241,514","713,021,988",0.598,0.427,0.0605,76.469,-8.764,0.0546,0.0317,5.83e-06,0.21,hip-hop,True,82,2019
F.N,Lil Tjay,8/9/2019,731933924.0,70.0,"534,384,489","173,278,256",0.567,0.515,0.321,120.1,-10.265,0.354,0.247,0.0,0.078,r-n-b,True,78,2019
Say You Won't Let Go,James Arthur,9/9/2016,2830962669.0,82.0,"2,083,619,058","792,720,612",0.358,0.557,0.494,85.043,-7.398,0.695,0.059,0.0,0.0902,pop,False,85,2016
Blank Space,Taylor Swift,1/1/2014,1829733410.0,76.0,"3,624,778,617","346,032,878",0.76,0.703,0.57,95.997,-5.412,0.103,0.054,0.0,0.0913,pop,False,85,2014
HUMBLE.,Kendrick Lamar,3/31/2017,2226869580.0,80.0,"1,281,355,260","769,720,113",0.908,0.621,0.421,150.011,-6.638,0.000282,0.102,5.39e-05,0.0958,hip-hop,True,84,2017
Super Freaky Girl,Nicki Minaj,8/12/2022,549382975.0,64.0,"128,432,797","5,107,877,505",0.95,0.891,0.912,133.01,-2.653,0.0645,0.241,1.77e-05,0.309,dance,True,92,2022
Something in the Orange,Zach Bryan,4/22/2022,891578597.0,82.0,"121,756,122","536,850,823",0.369,0.192,0.148,175.212,-12.151,0.555,0.04,8.35e-06,0.0954,country,False,3,2022
Treat You Better,Shawn Mendes,6/3/2016,2164074552.0,80.0,"2,766,700,889","218,876,789",0.444,0.819,0.747,82.695,-4.078,0.106,0.341,0.0,0.107,dance,False,84,2016
Let Her Go,Passenger,7/27/2012,2252713547.0,69.0,"3,967,431,755","198,665,893",0.445,0.541,0.217,76.289,-7.36,0.359,0.0736,0.0,0.109,folk,False,75,2012
Stressed Out,Twenty One Pilots,4/28/2015,2313532702.0,79.0,"3,241,796,669","664,725,202",0.734,0.637,0.648,169.977,-5.677,0.0462,0.141,2.29e-05,0.0602,rock,False,85,2015
Astronaut In The Ocean,Masked Wolf,1/1/2019,1251675613.0,67.0,"1,001,433,936","338,873,585",0.778,0.695,0.472,149.996,-6.865,0.175,0.0913,0.0,0.15,hip-hop,True,79,2019
All of Me,John Legend,1/1/2012,2382407025.0,80.0,"3,064,193,777","643,209,321",0.422,0.264,0.331,119.93,-7.064,0.922,0.0322,0.0,0.132,soul,False,85,2012
2055,Sleepy Hallow,4/14/2021,811700245.0,77.0,"168,936,854","752,325,431",0.829,0.512,0.638,80.511,-5.865,0.492,0.187,0.0,0.12,r-n-b,True,81,2021
You Proof,Morgan Wallen,5/13/2022,644437397.0,79.0,"141,964,689","327,463,451",0.731,0.85,0.644,119.706,-4.913,0.252,0.0336,0.0,0.605,country,False,86,2022
Break My Heart,Dua Lipa,3/25/2020,1198689895.0,71.0,"761,387,435","1,509,626,629",0.73,0.729,0.467,113.011,-3.434,0.167,0.0884,1.39e-06,0.349,dance,False,78,2020
Shut Down,BLACKPINK,9/16/2022,654818451.0,67.0,"633,781,726","3,365,539,262",0.813,0.657,0.651,110.053,-6.447,0.00269,0.0372,0.0,0.183,k-pop,False,87,2022
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,5/6/2022,553783547.0,68.0,"238,368,386","2,994,040,421",0.801,0.601,0.74,159.969,-7.574,0.0777,0.255,3.23e-05,0.145,dance,True,90,2022
"thank u, next",Ariana Grande,11/3/2018,1878196824.0,73.0,"1,479,999,649","982,464,070",0.717,0.653,0.412,106.966,-5.634,0.229,0.0658,0.0,0.101,dance,True,82,2018
Hope,XXXTENTACION,3/16/2018,1442703001.0,78.0,"460,915,912","325,870,631",0.592,0.457,0.225,146.04,-6.081,0.661,0.0603,0.000331,0.146,emo,True,86,2018
WITHOUT YOU,The Kid LAROI,11/6/2020,927908363.0,69.0,"201,781,716","2,189,403,368",0.662,0.413,0.467,93.005,-7.357,0.213,0.0299,0.0,0.134,hip-hop,True,80,2020
Blister In The Sun,Violent Femmes,12/1/2023,250321751.0,,,,0.726,0.537,0.882,96.889,-8.896,0.316,0.114,0.0,0.0707,acoustic,False,71,2023
Love Yourself,Justin Bieber,11/9/2015,2423583406.0,78.0,"2,154,325,842","546,197,873",0.609,0.378,0.515,100.418,-9.828,0.835,0.438,0.0,0.28,pop,False,84,2015
Wasted On You,Morgan Wallen,1/8/2021,717226454.0,79.0,"404,363,419","86,145,458",0.505,0.657,0.252,196.0,-5.24,0.373,0.0318,0.00107,0.126,country,False,83,2021
Unstoppable,Sia,1/21/2016,1285237951.0,76.0,"1,383,536,938","14,808,888,629",0.468,0.779,0.26,173.799,-4.839,0.112,0.0779,0.000373,0.101,dance,False,81,2016
traitor,Olivia Rodrigo,5/21/2021,1564979439.0,80.0,"500,794,182","2,639,611,818",0.38,0.339,0.0849,100.607,-7.885,0.691,0.0338,0.0,0.12,pop,False,88,2021
goosebumps,Travis Scott,9/16/2016,2396737761.0,82.0,"1,334,796,210","1,545,294,272",0.841,0.728,0.43,130.049,-3.37,0.0847,0.0484,0.0,0.149,hip-hop,True,84,2016
Angel Baby,Troye Sivan,9/9/2021,533416336.0,68.0,"293,168,763","4,418,855,338",0.559,0.559,0.338,72.498,-6.425,0.0145,0.0358,0.0,0.138,dance,False,82,2021
Chandelier,Sia,1/1/2014,1729264620.0,75.0,"3,137,616,905","1,176,707,701",0.399,0.787,0.572,117.089,-2.88,0.0197,0.0499,6.07e-05,0.0685,dance,False,80,2014
Cheap Thrills,Sia,12/17/2015,1779046979.0,70.0,"2,306,432,379","925,857,941",0.628,0.698,0.732,89.976,-5.608,0.0472,0.105,0.00143,0.0907,dance,False,78,2015
Yummy,Justin Bieber,1/3/2020,792379282.0,62.0,"887,226,751","2,580,705,782",0.677,0.506,0.497,145.843,-6.652,0.345,0.0964,0.0,0.118,pop,False,0,2020
Too Good At Goodbyes,Sam Smith,9/8/2017,2061017397.0,78.0,"1,988,375,859","118,957,400",0.681,0.372,0.476,91.873,-8.237,0.64,0.0432,0.0,0.169,dance,False,83,2017
There's Nothing Holdin' Me Back,Shawn Mendes,9/23/2016,2043626431.0,80.0,"1,683,710,842","544,400,947",0.866,0.813,0.969,121.998,-4.063,0.38,0.0554,0.0,0.0779,dance,False,86,2016
In The Stars,Benson Boone,4/29/2022,725214939.0,74.0,"204,956,968","2,046,007,902",0.362,0.54,0.3,78.007,-6.031,0.338,0.0528,0.0,0.139,pop,False,86,2022
Call Out My Name,The Weeknd,3/29/2018,1780889877.0,79.0,"1,366,385,062","742,902,070",0.461,0.593,0.175,134.17,-4.954,0.17,0.0356,0.0,0.307,pop,False,89,2018
Mask Off,Future,1/1/2017,1596770801.0,77.0,"1,296,329,209","2,521,784,913",0.833,0.434,0.281,150.062,-8.795,0.0102,0.431,0.0219,0.165,hip-hop,True,83,2017
You Raise Me Up,Josh Groban,11/17/2023,124486631.0,,,,0.25,0.136,0.0981,118.086,-12.162,0.673,0.037,0.000157,0.107,opera,False,61,2023
Maan Meri Jaan,King,10/12/2022,467454503.0,71.0,"627,711,778","189,880,241",0.698,0.505,0.396,95.868,-8.242,0.354,0.0356,0.0,0.0995,hip-hop,False,66,2022
SICKO MODE,Travis Scott,8/3/2018,2134271997.0,77.0,"271,517,371","2,562,546,341",0.834,0.73,0.446,155.008,-3.714,0.00513,0.222,0.0,0.124,hip-hop,True,83,2018
The Kind of Love We Make,Luke Combs,6/17/2022,470340261.0,75.0,"123,212,252","395,041,727",0.608,0.745,0.464,102.025,-4.13,0.0226,0.0277,6.47e-06,0.0942,country,False,82,2022
One Step Closer,Linkin Park,4/12/2024,687919107.0,,,,0.492,0.969,0.538,95.136,-4.419,0.0014,0.0491,1.32e-06,0.0787,alternative,False,78,2024
Faded,Alan Walker,12/4/2015,1943842010.0,75.0,"439,888,055","4,682,512,450",0.468,0.627,0.159,179.642,-5.085,0.0281,0.0476,7.97e-06,0.11,electro,False,80,2015
