Track,Artist,Release Date,Spotify Streams,Spotify Popularity,YouTube Views,TikTok Views,danceability,energy,valence,tempo,loudness,acousticness,speechiness,instrumentalness,liveness,track_genre,explicit,popularity,year
The Bones,Maren Morris,2/22/2019,461420009.0,63.0,"97,498,335","123,888,567",0.612,0.57,0.334,77.004,-6.642,0.278,0.0347,0.0,0.0963,country,False,75,2019
Beat the Odds,Lil Tjay,8/26/2022,115581471.0,60.0,"46,251,839","93,356,963",0.498,0.625,0.478,84.821,-7.452,0.054,0.342,0.0,0.175,r-n-b,True,81,2022
I Wanna Be Yours,Arctic Monkeys,1/1/2013,2185240293.0,86.0,"109,538,379","105,020,737",0.464,0.417,0.479,67.528,-9.345,0.136,0.0256,0.022,0.0974,garage,False,92,2013
Story of My Life,One Direction,10/28/2013,1275036167.0,79.0,"264,658,339","862,277,477",0.6,0.663,0.286,121.07,-5.802,0.225,0.0477,0.0,0.119,pop,False,83,2013
Black Summer,Red Hot Chili Peppers,2/4/2022,128264127.0,57.0,"57,252,735","20,590,526",0.417,0.682,0.351,105.542,-5.071,0.0267,0.0295,0.000669,0.109,alt-rock,False,1,2022
Sofia,Alvaro Soler,4/15/2016,353525330.0,65.0,"1,004,545,222","151,019,644",0.689,0.711,0.914,128.005,-6.077,0.0732,0.0316,0.0,0.13,latin,False,1,2016
Those Eyes,New West,5/10/2019,785139012.0,73.0,"147,215,663","594,352,793",0.597,0.351,0.243,119.948,-8.043,0.727,0.0281,3.86e-05,0.319,indie,False,82,2019
Girl On Fire,Alicia Keys,1/1/2012,646295324.0,71.0,"719,570,982","1,264,756,176",0.482,0.706,0.144,92.513,-5.762,0.135,0.0607,0.00106,0.105,soul,False,77,2012
Budapest,George Ezra,11/3/2013,1142061871.0,79.0,"265,620,751","42,711,557",0.717,0.455,0.389,127.812,-8.303,0.0846,0.0276,0.0,0.11,folk,False,79,2013
Alcohol-Free,TWICE,6/9/2021,224295163.0,62.0,"398,036,555","811,061,720",0.688,0.909,0.702,97.097,-1.992,0.0474,0.0624,1.35e-06,0.0674,k-pop,False,72,2021
Voices In My Head,Falling In Reverse,5/31/2022,122568479.0,68.0,"109,752,215","33,939,631",0.546,0.898,0.639,173.17,-3.067,0.0266,0.162,0.0,0.129,metal,True,73,2022
Reckless,Madison Beer,6/4/2021,504851489.0,66.0,"156,937,871","763,454,337",0.386,0.426,0.261,180.104,-6.642,0.807,0.0363,0.0,0.14,electro,False,80,2021
Cuando Nadie Ve,Morat,6/8/2018,621596476.0,72.0,"761,391,767","84,607,917",0.804,0.788,0.837,96.007,-4.586,0.118,0.0598,0.0,0.215,latin,False,0,2018
Sakhiyaan,Maninder Buttar,10/21/2018,177496669.0,65.0,"776,438,148","339,486,868",0.706,0.674,0.359,83.001,-5.932,0.3,0.044,0.0,0.202,hip-hop,False,73,2018
IDGAF,Dua Lipa,6/2/2017,1583012380.0,71.0,"223,607,979","135,618,240",0.836,0.544,0.51,97.028,-5.975,0.0403,0.0943,0.0,0.0824,dance,True,80,2017
Lush Life,Zara Larsson,6/5/2015,1429205245.0,78.0,"156,015,402","323,351,717",0.694,0.712,0.799,98.023,-3.923,0.132,0.046,0.0,0.211,dance,False,78,2015
Say Something,A Great Big World,11/4/2013,1064534331.0,65.0,"113,298,251","339,277,915",0.447,0.158,0.142,140.942,-7.571,0.872,0.036,1.58e-06,0.0816,acoustic,False,57,2013
"Sex, Drugs, Etc.",Beach Weather,11/4/2016,818926915.0,77.0,"85,879,643","478,999,463",0.572,0.839,0.465,143.969,-5.083,0.013,0.0377,0.00976,0.522,rock,False,90,2016
Californication,Red Hot Chili Peppers,6/8/1999,1405353677.0,79.0,"1,518,596,886","226,008,149",0.592,0.765,0.327,96.483,-2.788,0.0021,0.027,0.00154,0.127,alt-rock,False,2,1999
Zombie,Bad Wolves,1/19/2018,391235723.0,6.0,"133,338,318","193,481,131",0.448,0.826,0.19,77.093,-3.244,0.00756,0.0319,0.0,0.117,alternative,False,69,2018
ONLY,LeeHi,8/27/2021,335212411.0,71.0,"154,369,917","1,513,137,827",0.536,0.296,0.151,122.907,-7.451,0.892,0.0346,0.0,0.0873,k-pop,False,77,2021
Baby Shark,Super Simple Songs,3/24/2017,53980875.0,55.0,"1,065,036,315","386,999",0.747,0.395,0.702,148.139,-11.447,0.222,0.0453,0.0,0.047,children,False,61,2017
Blood // Water,grandson,10/27/2017,658966178.0,68.0,"218,493,561","1,291,420,904",0.51,0.882,0.653,154.029,-5.659,0.00158,0.159,0.00206,0.0764,alt-rock,False,75,2017
This Town,Niall Horan,9/29/2016,957810500.0,74.0,"174,370,096","159,860,013",0.677,0.401,0.195,111.825,-8.467,0.712,0.0308,0.0,0.116,dance,False,80,2016
Die A Happy Man,Thomas Rhett,1/1/2015,622198235.0,66.0,"281,739,663","18,928,214",0.59,0.389,0.389,166.055,-9.245,0.411,0.0387,1.48e-06,0.117,country,False,1,2015
Fed Up,Ghostemane,10/21/2020,219841054.0,64.0,"128,686,770","1,206,875,855",0.849,0.758,0.0684,115.058,-7.498,0.499,0.256,0.695,0.147,hip-hop,True,76,2020
Panic Room,Au/Ra,2/9/2018,256361762.0,63.0,"183,409,458","298,147,047",0.495,0.426,0.0636,97.91,-9.434,0.152,0.0736,5.65e-06,0.099,edm,False,72,2018
Overwhelmed,Royal & the Serpent,6/26/2020,189175699.0,62.0,"14,575,452","2,001,548,087",0.804,0.323,0.456,87.019,-11.127,0.308,0.305,0.0,0.15,alternative,False,70,2020
Good as Hell,Lizzo,3/9/2016,627625151.0,66.0,"275,081,528","1,187,485,509",0.682,0.919,0.535,95.983,-3.18,0.256,0.0874,0.0,0.443,hip-hop,False,0,2016
Kya Baat Ay,Harrdy Sandhu,9/24/2018,115373265.0,60.0,"743,095,293","440,380,121",0.849,0.592,0.652,89.966,-4.309,0.632,0.102,2.39e-06,0.108,pop,False,68,2018
Nira Ishq,Guri,2/21/2019,102266938.0,61.0,"531,503,711","544,172,370",0.703,0.609,0.696,89.929,-7.3,0.111,0.0444,0.0,0.0515,hip-hop,False,69,2019
STARGAZING,Travis Scott,8/3/2018,740409304.0,70.0,"211,251,366","50,313,512",0.487,0.789,0.0564,150.007,-3.69,0.00947,0.044,4.05e-06,0.189,house,True,75,2018
Girls,aespa,7/8/2022,115406939.0,62.0,"267,348,363","401,260,794",0.57,0.974,0.65,171.958,-0.173,0.115,0.325,0.000594,0.125,k-pop,False,78,2022
Classic,MKTO,1/1/2012,1350428257.0,78.0,"343,526,777","3,172,500,312",0.72,0.791,0.756,102.071,-4.689,0.0384,0.124,0.0,0.157,rock,False,82,2012
"Paint It, Black",The Rolling Stones,7/26/2023,1196773729.0,,,,0.496,0.858,0.773,159.69,-7.927,0.0133,0.0922,0.0675,0.349,british,False,1,2023
Sunshine,OneRepublic,11/10/2021,426609723.0,73.0,"21,063,557","85,043,400",0.697,0.875,0.774,140.069,-4.621,0.137,0.034,0.0,0.28,piano,False,1,2021
Walk,Kodak Black,9/16/2022,62323136.0,54.0,"34,075,392","25,342,217",0.817,0.512,0.17,130.04,-6.943,0.037,0.0984,0.0,0.216,hip-hop,True,0,2022
Animals,Martin Garrix,1/1/2013,413855724.0,61.0,"62,878,984","170,836,810",0.676,0.857,0.0378,128.01,-6.7,0.00149,0.0391,0.674,0.307,dance,True,56,2013
Jar of Hearts,Christina Perri,7/27/2010,534874667.0,65.0,"562,197,656","109,689,471",0.373,0.348,0.0899,74.885,-6.142,0.728,0.0314,0.0,0.12,rock,False,0,2010
I Won't Give Up,Jason Mraz,1/1/2012,850863163.0,62.0,"21,096,118","77,268,402",0.483,0.303,0.139,133.406,-10.058,0.694,0.0429,0.0,0.115,acoustic,False,69,2012
I GUESS I'M IN LOVE,Clinton Kane,8/20/2021,416972132.0,63.0,"27,881,902","1,003,766,991",0.422,0.34,0.223,77.213,-6.577,0.877,0.0351,1.77e-05,0.149,singer-songwriter,False,77,2021
Sweet Child O' Mine,Guns N' Roses,7/21/1987,1879386440.0,80.0,"2,007,460,784","673,282,408",0.454,0.91,0.629,125.116,-7.766,0.0866,0.0448,0.0996,0.116,hard-rock,True,84,1987
Bring Me To Life,Evanescence,1/1/2003,1129346989.0,79.0,"1,380,253,721","906,228,976",0.318,0.943,0.298,189.985,-3.188,0.00721,0.107,2.06e-06,0.242,alternative,False,0,2003
In Da Club,50 Cent,8/26/2011,10163724.0,,"2,248,807,705",,0.899,0.713,0.777,90.051,-2.752,0.255,0.366,0.0,0.0708,hip-hop,True,83,2011
Show Me How,Men I Trust,2/28/2018,466462034.0,20.0,"91,890,599","1,503,260,547",0.791,0.267,0.544,165.99,-11.997,0.674,0.0415,0.534,0.102,indie-pop,False,79,2018
Joro,Wizkid,9/30/2019,117819788.0,59.0,"312,077,132","1,866,473,503",0.686,0.694,0.587,189.998,-3.693,0.253,0.257,0.000904,0.109,dancehall,False,66,2019
all the good girls go to hell,Billie Eilish,3/29/2019,640099263.0,68.0,"342,695,701","204,727,914",0.854,0.446,0.57,92.545,-8.957,0.313,0.198,0.215,0.156,electro,False,0,2019
505,Arctic Monkeys,4/21/2007,1660504577.0,80.0,"611,110,729","229,596,064",0.526,0.866,0.248,140.266,-5.822,0.00287,0.0568,7.78e-05,0.0945,garage,False,88,2007
Colors,Black Pumas,4/16/2019,215492373.0,67.0,"291,742,629","64,559,724",0.391,0.692,0.56,180.008,-6.543,0.0946,0.0462,1.58e-05,0.191,soul,False,67,2019
Flowers,Lauren Spencer Smith,4/14/2022,260183209.0,65.0,"64,169,463","295,540,554",0.684,0.449,0.341,66.165,-9.738,0.869,0.611,0.0,0.0881,singer-songwriter,True,0,2022
You're Somebody Else,flora cash,4/21/2017,473059298.0,62.0,"302,782,709","793,624,604",0.713,0.452,0.235,102.963,-9.638,0.841,0.0295,0.0038,0.105,folk,False,75,2017
Formula,Labrinth,10/4/2019,836491531.0,79.0,"95,215,206","1,679,330,230",0.574,0.664,0.226,144.654,-6.068,0.0448,0.0409,0.0553,0.146,indie-pop,False,83,2019
WA DA DA,Kep1er,1/3/2022,172657413.0,54.0,"272,201,730","1,992,357,477",0.785,0.907,0.685,126.004,-2.657,0.00122,0.0938,3.11e-06,0.213,k-pop,False,74,2022
Seven Nation Army,The White Stripes,1/1/2003,1657866786.0,81.0,"339,571,990","1,394,903,550",0.743,0.446,0.278,123.596,-7.807,0.0039,0.0683,0.118,0.337,alt-rock,False,84,2003
Little Do You Know,Alex & Sierra,1/1/2014,732651478.0,65.0,"511,428,536","663,477,196",0.5,0.292,0.37,145.879,-8.554,0.746,0.0323,0.0,0.188,pop,False,77,2014
idfc,blackbear,10/26/2014,703008289.0,65.0,"676,519,290","1,202,118,262",0.718,0.422,0.455,144.678,-9.115,0.0764,0.0621,0.0,0.17,electro,True,81,2014
Cry,Cigarettes After Sex,10/25/2019,499764238.0,78.0,"100,443,510","438,475,493",0.406,0.399,0.163,142.83,-10.449,0.756,0.0278,0.678,0.112,ambient,False,76,2019
Tequila,Dan + Shay,1/10/2018,601987422.0,65.0,"54,165,764","43,174,144",0.489,0.581,0.494,86.016,-5.731,0.0312,0.0281,0.0,0.132,country,False,72,2018
Polaroid Love,ENHYPEN,1/10/2022,283455095.0,68.0,"153,119,745","2,468,865,989",0.738,0.67,0.651,138.055,-3.766,0.458,0.0439,0.0,0.361,anime,False,78,2022
Lemon,Kenshi Yonezu,3/14/2018,194955459.0,63.0,"918,297,076","19,949,350",0.525,0.646,0.373,86.957,-4.963,0.304,0.0268,0.0,0.297,anime,False,70,2018
SNEAKERS,ITZY,7/15/2022,95952617.0,56.0,"259,567,120","745,339,618",0.935,0.849,0.551,119.986,-3.047,0.0192,0.0779,0.0,0.0223,k-pop,False,78,2022
Run BTS,BTS,6/10/2022,439395056.0,71.0,,"2,849,048,545",0.724,0.818,0.696,77.004,-3.747,0.0201,0.168,0.0,0.0358,k-pop,False,84,2022
Backyard Boy,Claire Rosinkranz,8/14/2020,271235105.0,60.0,"89,752,088","2,633,643,813",0.817,0.635,0.454,138.015,-7.246,0.323,0.163,0.0,0.0738,indie-pop,False,71,2020
Bohemian Rhapsody,Queen,11/16/2009,2486908570.0,,"2,036,268,766",,0.39,0.397,0.246,144.031,-9.963,0.287,0.0513,0.0,0.207,rock,False,75,2009
Earth,Lil Dicky,4/18/2019,211158013.0,54.0,"522,628,926","512,503,154",0.694,0.664,0.676,95.941,-4.649,0.639,0.05,0.0,0.0929,comedy,True,40,2019
Ready For Love,BLACKPINK,9/16/2022,115237552.0,55.0,"243,509,528","51,526,563",0.564,0.682,0.551,107.597,-6.688,0.0146,0.113,0.0,0.123,k-pop,False,76,2022
Million Reasons,Lady Gaga,10/6/2016,825465124.0,69.0,"567,425,578","38,088,467",0.666,0.423,0.154,129.893,-8.012,0.494,0.0429,0.0,0.106,dance,False,0,2016
The One That Got Away,Katy Perry,1/1/2010,921351898.0,67.0,"1,126,799,119","397,746,382",0.691,0.795,0.876,133.971,-4.021,0.000812,0.0355,1.02e-06,0.156,dance,False,76,2010
Pano,Zack Tabudlo,12/6/2021,261275106.0,64.0,"212,525,130","582,712,801",0.375,0.457,0.415,174.839,-7.018,0.868,0.0315,0.0145,0.191,acoustic,False,75,2021
Blood Sweat & Tears,BTS,2/13/2017,563366391.0,43.0,"1,138,081,643","247,725,561",0.584,0.885,0.605,92.9,-3.571,0.0244,0.104,0.0,0.357,k-pop,False,75,2017
Love Shot,EXO,12/13/2018,358620184.0,65.0,"710,463,080","456,814,795",0.689,0.678,0.335,145.883,-4.287,0.0702,0.119,0.0,0.0889,k-pop,False,74,2018
Have You Ever Seen The Rain,Creedence Clearwater Revival,6/30/2023,,,,,0.741,0.697,0.774,116.109,-7.03,0.0665,0.0277,2.35e-05,0.133,country,False,1,2023
Remember That Night?,Sara Kays,11/6/2020,363510259.0,68.0,"45,636,634","907,351,760",0.679,0.61,0.554,123.978,-10.936,0.585,0.0305,9.51e-05,0.156,indie-pop,False,76,2020
Ocean Drive,Duke Dumont,7/31/2015,624262344.0,68.0,"139,990,813","61,873,397",0.67,0.776,0.624,115.034,-4.091,0.00388,0.047,0.000189,0.122,edm,False,0,2015
Feel Special,TWICE,9/23/2019,361382812.0,64.0,"607,728,749","277,620,586",0.708,0.959,0.644,128.981,-1.338,0.0296,0.0604,0.00188,0.107,k-pop,False,72,2019
To the Bone,Pamungkas,6/14/2019,442614126.0,72.0,"461,577,619","1,424,731,067",0.668,0.727,0.939,139.991,-6.55,0.514,0.027,1.9e-05,0.1,singer-songwriter,False,78,2019
Smoke Gets in Your Eyes,The Platters,4/12/2024,106782384.0,,,,0.203,0.295,0.285,171.222,-11.155,0.92,0.0323,2.05e-06,0.173,rock-n-roll,False,65,2024
NUMB,XXXTENTACION,3/16/2018,510136819.0,67.0,"201,406,793","202,031,125",0.414,0.416,0.196,159.91,-8.024,0.1,0.0251,0.179,0.131,emo,False,75,2018
The Scientist,Coldplay,8/5/2002,1903413912.0,79.0,"1,864,046,384","481,408,577",0.557,0.442,0.213,146.277,-7.224,0.731,0.0243,1.46e-05,0.11,pop,False,2,2002
DEUTSCHLAND,Rammstein,3/28/2019,460008347.0,71.0,"370,078,966","46,078,194",0.521,0.895,0.237,120.117,-5.242,5.54e-05,0.0442,0.349,0.0985,alt-rock,False,77,2019
vice city,XXXTENTACION,1/28/2022,111369377.0,64.0,"100,696,513","198,631",0.853,0.467,0.329,87.023,-6.843,0.00596,0.195,0.00171,0.203,emo,True,72,2022
SOLO,JENNIE,11/12/2018,622229689.0,67.0,"449,312,389","1,166,486,496",0.752,0.642,0.388,95.043,-5.165,0.0861,0.0869,0.0,0.0953,k-pop,False,73,2018
Jefe,Ninho,12/3/2021,154120297.0,61.0,"152,723,183","204,594,753",0.648,0.599,0.213,120.985,-8.611,0.474,0.0799,6.81e-06,0.121,french,True,74,2021
do re mi,blackbear,3/18/2017,619655619.0,63.0,"324,660,885","42,240,263",0.745,0.593,0.17,111.001,-6.35,0.00522,0.0524,5.06e-06,0.123,electro,True,73,2017
"You're Gonna Go Far, Kid",The Offspring,6/12/2008,968810827.0,77.0,"336,220,628","47,328,081",0.55,0.917,0.601,126.115,-3.159,0.00428,0.0638,0.0,0.197,alt-rock,True,81,2008
Unsteady,X Ambassadors,1/28/2014,663939688.0,67.0,"462,058,635","215,796,397",0.389,0.665,0.199,117.055,-6.169,0.178,0.0644,0.000732,0.116,alt-rock,False,74,2014
Chamber Of Reflection,Mac DeMarco,3/28/2014,728140057.0,74.0,"251,014,567","918,538,689",0.538,0.557,0.506,131.03,-8.678,0.262,0.0914,0.914,0.102,edm,False,82,2014
Tighten Up,The Black Keys,12/18/2020,248857241.0,56.0,,,0.517,0.711,0.582,108.846,-5.84,0.000763,0.0627,7.15e-06,0.568,blues,False,61,2020
CAN'T SAY,Travis Scott,8/3/2018,601202311.0,72.0,"183,455,907","75,889,595",0.702,0.708,0.713,147.98,-5.366,0.201,0.0547,0.0,0.118,house,True,76,2018
Gentleman,PSY,1/1/2013,119666188.0,54.0,"1,772,780,483","33,894,220",0.878,0.723,0.619,126.01,-3.334,0.00227,0.102,0.0,0.0516,k-pop,False,50,2013
Everybody Talks,Neon Trees,12/19/2011,836267192.0,74.0,"128,528,493","271,659,950",0.471,0.924,0.725,154.961,-3.906,0.00301,0.0586,0.0,0.313,alt-rock,False,80,2011
Temporary pyar,Kaka,9/4/2021,38264355.0,53.0,"451,922,405","4,585",0.531,0.79,0.339,79.942,-7.213,0.281,0.234,0.0,0.301,pop,False,65,2021
Dueles,Jesse & Joy,12/4/2015,563467499.0,72.0,"1,000,321,872","490,277,819",0.531,0.834,0.527,142.041,-3.944,0.277,0.052,0.0,0.132,latin,False,7,2015
YOSEMITE,Travis Scott,8/3/2018,646744185.0,68.0,"161,578,216","25,055,075",0.785,0.554,0.144,128.047,-6.571,0.283,0.0409,3.4e-06,0.116,house,True,75,2018
Pretty Savage,BLACKPINK,10/2/2020,435823355.0,64.0,"284,536,285","1,021,702,238",0.699,0.588,0.35,151.971,-6.533,0.00807,0.0402,0.000131,0.107,k-pop,False,71,2020
"Mann Bharryaa 2.0 (From ""Shershaah"")",B Praak,8/15/2021,149351877.0,61.0,"365,670,176","60,033,835",0.428,0.467,0.193,90.831,-4.904,0.68,0.0327,0.0,0.135,pop,False,69,2021
Feel So Close - Radio Edit,Calvin Harris,1/1/2011,991382346.0,79.0,"7,412,771","502,553,641",0.707,0.924,0.919,127.937,-2.842,0.000972,0.031,0.00703,0.204,electro,False,80,2011
Young,Vacations,12/9/2016,597591280.0,74.0,"105,282,082","1,487,039,791",0.498,0.81,0.594,79.935,-4.065,0.00392,0.0263,0.00717,0.0635,indie,False,83,2016
MALA SANTA,Becky G,10/11/2019,189969086.0,54.0,"474,789,534","252,838,869",0.851,0.701,0.527,98.039,-3.649,0.311,0.0396,0.000211,0.163,reggaeton,False,65,2019
Renegades,X Ambassadors,3/17/2015,785571181.0,70.0,"492,974,141","74,904,030",0.526,0.862,0.528,90.052,-6.003,0.0144,0.0905,0.0597,0.229,alt-rock,False,76,2015
Snow (Hey Oh),Red Hot Chili Peppers,5/9/2006,1070374387.0,74.0,"710,124,074","835,564,684",0.427,0.9,0.599,104.655,-3.674,0.116,0.0499,1.75e-05,0.119,alt-rock,False,80,2006
You should be sad,Halsey,11/8/2019,557921212.0,64.0,"61,717,959","41,811,499",0.591,0.585,0.324,110.94,-6.35,0.143,0.0277,0.0,0.109,electro,True,73,2019
Sing Me to Sleep,Alan Walker,1/1/2016,381501023.0,56.0,"933,353,581","133,544,796",0.474,0.622,0.158,176.062,-6.381,0.0129,0.061,3.82e-06,0.327,electro,False,66,2016
Ex's & Oh's,Elle King,1/1/2014,501915477.0,66.0,"317,068,971","29,687,816",0.612,0.921,0.446,139.988,-2.882,0.0183,0.085,0.0,0.0576,blues,False,73,2014
Way Back Home,SHAUN,6/27/2018,211581810.0,63.0,"137,544,172","3,149,064,834",0.745,0.739,0.556,99.913,-4.591,0.405,0.0327,0.000183,0.127,k-pop,False,71,2018
NDA,Billie Eilish,7/9/2021,333792226.0,70.0,"82,079,675","536,488,373",0.765,0.373,0.554,85.016,-9.921,0.341,0.0713,0.525,0.112,electro,True,77,2021
A Ella,KAROL G,5/5/2017,365062854.0,71.0,"893,949,453","109,160,109",0.73,0.769,0.594,181.988,-4.936,0.244,0.178,2.06e-05,0.136,reggae,False,3,2017
Who's Laughing Now,Ava Max,7/30/2020,218674366.0,57.0,"242,536,989","72,001,415",0.648,0.641,0.505,184.021,-5.521,0.00565,0.0389,3.63e-06,0.109,dance,False,2,2020
In the morning,ITZY,4/30/2021,205110323.0,60.0,"371,693,639","550,643,662",0.846,0.814,0.722,140.055,-4.685,0.0823,0.149,0.00094,0.13,k-pop,False,72,2021
SEJODIOTO,KAROL G,9/21/2021,350738636.0,66.0,"154,323,126","351,428,481",0.822,0.736,0.679,175.93,-3.969,0.157,0.15,0.000781,0.0748,reggae,True,0,2021
Country Girl (Shake It For Me),Luke Bryan,1/1/2011,464203349.0,70.0,"192,327,944","136,935,165",0.644,0.904,0.672,105.969,-4.532,0.0295,0.0464,0.0,0.0834,country,False,2,2011
Stupid Love,Lady Gaga,2/28/2020,377746254.0,62.0,"192,582,605","102,362,534",0.68,0.825,0.784,117.987,-4.296,0.00173,0.0702,0.000122,0.27,dance,False,0,2020
Doin' Time,Lana Del Rey,8/30/2019,680707791.0,74.0,"48,297,331","184,535,006",0.641,0.559,0.523,144.982,-11.132,0.404,0.0355,0.00402,0.0937,pop,True,0,2019
Come & Get It,Selena Gomez,1/1/2013,412118303.0,64.0,"863,861,067","931,798,909",0.552,0.783,0.575,79.984,-4.138,0.00887,0.0504,0.00026,0.0954,dance,False,0,2013
I.F.L.Y.,Bazzi,7/18/2019,593718503.0,65.0,"229,847,460","728,210,556",0.812,0.519,0.554,104.954,-4.823,0.379,0.0385,0.0,0.13,electro,True,74,2019
my future,Billie Eilish,7/30/2020,461892532.0,64.0,"175,821,589","123,540,119",0.444,0.309,0.0875,104.745,-10.956,0.795,0.062,0.132,0.352,electro,False,72,2020
God is a woman,Ariana Grande,7/13/2018,1064927546.0,70.0,"120,105,486","2,480,889",0.602,0.658,0.268,145.031,-5.934,0.0233,0.0558,6e-05,0.237,dance,True,80,2018
Tera Fitoor,Arijit Singh,7/12/2018,108748134.0,68.0,"900,050,812","331,691",0.576,0.688,0.726,135.984,-5.136,0.346,0.0319,0.0439,0.262,pop-film,False,66,2018
Traicionera,Sebastian Yatra,6/24/2016,650511999.0,67.0,"795,920,437","60,797,733",0.779,0.675,0.63,91.006,-4.976,0.138,0.0485,0.0,0.105,reggae,False,4,2016
Kokomo,The Beach Boys,6/17/2022,271362772.0,25.0,,,0.682,0.635,0.927,115.584,-10.05,0.00863,0.0346,0.0,0.137,psych-rock,False,71,2022
Fuentes de Ortiz,Ed Maverick,3/2/2018,583209382.0,71.0,"561,013,544","187,698,778",0.83,0.159,0.189,104.95,-14.461,0.946,0.0383,2.02e-05,0.362,indie,True,0,2018
MEMORIES!,347aidan,6/18/2021,225962467.0,62.0,"25,819,662","421,102,345",0.835,0.381,0.31,154.973,-6.121,0.757,0.342,4.59e-06,0.121,sad,False,76,2021
Morado,J Balvin,1/9/2020,485274842.0,58.0,"257,045,287","96,188,508",0.881,0.696,0.781,97.002,-3.838,0.136,0.0797,4.06e-05,0.0927,latin,False,2,2020
Dil Meri Na Sune,Atif Aslam,7/27/2018,52282360.0,56.0,"943,920,245","19,935",0.574,0.729,0.47,163.748,-4.2,0.349,0.0473,1.85e-06,0.664,pop-film,False,62,2018
